id_jogo,team home,total atq home,pontos ataques home,atq error home,% atq home,% rec home,bloqueio home,server error home,team away,total atq away,pontos ataques away,atq error away,% atq away,% rec away,bloqueio away,server error away,qtd sets,vencedor
1239,MONTES CLAROS AMERICA VOLEI,102,41,9,40,59,14,14,BRASILIA VÔLEI,101,39,13,39,76,14,16,4,True
1240,VOLEI FUNVIC NATAL,59,33,6,56,59,11,13,GOIÁS VÔLEI,61,18,13,30,48,6,8,3,True
1241,VOLEI RENATA,123,57,11,46,64,15,21,SESI-SP,138,58,12,42,66,13,18,5,False
1242,VEDACIT VÔLEI GUARULHOS,102,54,16,53,53,7,17,FIAT/GERDAU/MINAS,103,54,10,52,59,7,14,4,False
1243,SADA CRUZEIRO,76,42,5,55,52,5,12,FARMA CONDE VÔLEI - SÃO JOSÉ,82,39,7,48,49,4,13,3,True
1244,APAN/ELEVA,103,49,9,48,61,12,12,AZULIM/GABARITO/UBERLANDIA,113,44,10,39,62,10,13,4,True
1251,APAN/ELEVA,77,42,8,55,62,10,12,GOIÁS VÔLEI,72,35,3,49,47,3,11,3,True
1252,VEDACIT VÔLEI GUARULHOS,114,55,7,48,53,6,19,AZULIM/GABARITO/UBERLANDIA,109,41,11,38,52,7,16,4,True
1253,FIAT/GERDAU/MINAS,105,51,8,49,65,12,11,FARMA CONDE VÔLEI - SÃO JOSÉ,112,51,4,46,39,8,19,4,True
1254,SADA CRUZEIRO,68,39,5,57,51,9,13,VOLEI RENATA,78,28,11,36,62,7,12,3,True
1255,SESI-SP,119,52,12,44,82,12,11,MONTES CLAROS AMERICA VOLEI,119,55,9,46,59,8,14,4,True
1256,BRASILIA VÔLEI,104,51,10,49,66,6,25,VOLEI FUNVIC NATAL,96,48,9,50,60,13,25,4,False
1257,GOIÁS VÔLEI,70,26,10,37,48,7,10,BRASILIA VÔLEI,75,42,5,56,44,6,18,3,False
1258,VOLEI FUNVIC NATAL,102,48,11,47,54,5,18,SESI-SP,95,45,9,47,64,11,13,4,False
1259,SADA CRUZEIRO,129,65,8,50,64,13,18,MONTES CLAROS AMERICA VOLEI,114,53,11,46,48,11,14,5,True
1260,VOLEI RENATA,111,56,6,50,60,13,19,FIAT/GERDAU/MINAS,119,52,10,44,66,17,17,4,False
1261,FARMA CONDE VÔLEI - SÃO JOSÉ,62,41,5,66,65,6,14,AZULIM/GABARITO/UBERLANDIA,57,28,7,49,58,5,13,3,True
1262,VEDACIT VÔLEI GUARULHOS,74,43,3,58,67,3,10,APAN/ELEVA,87,45,6,52,64,5,20,3,True
1263,VEDACIT VÔLEI GUARULHOS,77,36,7,47,62,13,10,GOIÁS VÔLEI,88,39,11,44,50,4,11,3,True
1264,FARMA CONDE VÔLEI - SÃO JOSÉ,116,47,15,41,55,6,20,APAN/ELEVA,102,48,9,47,59,14,21,4,False
1265,AZULIM/GABARITO/UBERLANDIA,60,22,10,37,58,3,11,VOLEI RENATA,55,32,3,58,64,8,12,3,False
1266,FIAT/GERDAU/MINAS,82,41,10,50,80,11,10,MONTES CLAROS AMERICA VOLEI,83,35,4,42,71,4,14,3,True
1267,VOLEI FUNVIC NATAL,71,40,6,56,46,4,19,SADA CRUZEIRO,63,34,2,54,37,5,13,3,False
1268,SESI-SP,91,45,10,49,47,11,13,BRASILIA VÔLEI,99,47,7,47,56,5,26,4,True
1269,BRASILIA VÔLEI,92,34,12,37,49,6,24,SADA CRUZEIRO,80,43,8,54,56,10,19,4,False
1270,GOIÁS VÔLEI,78,32,15,41,43,6,10,SESI-SP,73,34,5,47,56,6,12,3,False
1271,VOLEI FUNVIC NATAL,73,37,8,51,37,2,17,FIAT/GERDAU/MINAS,55,31,2,56,51,5,12,3,False
1272,AZULIM/GABARITO/UBERLANDIA,119,47,14,39,64,7,16,MONTES CLAROS AMERICA VOLEI,107,43,9,40,58,17,9,4,False
1273,VOLEI RENATA,85,47,6,55,65,5,14,APAN/ELEVA,79,33,7,42,68,10,14,3,True
1274,FARMA CONDE VÔLEI - SÃO JOSÉ,131,58,13,44,56,8,12,VEDACIT VÔLEI GUARULHOS,134,54,13,40,50,9,13,4,True
1275,APAN/ELEVA,80,38,8,48,75,8,15,MONTES CLAROS AMERICA VOLEI,75,31,12,41,64,4,10,3,True
1276,AZULIM/GABARITO/UBERLANDIA,77,32,9,42,65,4,15,VOLEI FUNVIC NATAL,72,38,6,53,64,6,18,3,False
1277,VEDACIT VÔLEI GUARULHOS,71,38,7,54,69,6,14,VOLEI RENATA,74,38,7,51,61,6,15,3,False
1278,FIAT/GERDAU/MINAS,115,62,10,54,74,7,20,BRASILIA VÔLEI,107,45,10,42,49,1,12,4,True
1279,FARMA CONDE VÔLEI - SÃO JOSÉ,118,61,12,52,62,9,11,GOIÁS VÔLEI,117,58,12,50,65,9,15,4,True
